Core metadata,,,,Additional metadata,,,,,,,Notes,,,,Categorization,,,,,,,,Applicability concerns,,,,,,,,,,,Findings,,,,Author updates,,,,
Year,Authors,Title,bibtex,Abstract,Published in,Publisher,Source,DOI,Publication date,,Antonia,Breno,Renan,,Broad Categories,Orchestration problem?,TCP,TCS,TSR,TSA,Context?,,Industry motivation?,Industry evaluation?,Experiment subjects,Industry partner,Industrial author,Practitioners feedback,Available tool?,Put into practice?,Supplementary material,Included?,,Approach,Metrics,Open challenges,,Answered by,Tool URL,Put into practice?,Useful metrics?,Additional notes
2016,"Srikanth, Hema; Hettiarachchi, Charitha; Do, Hyunsook",Requirements Based Test Prioritization Using Risk Factors,srikanth_requirements_2016,"Context Software testing is an expensive and time-consuming process. Software engineering teams are often forced to terminate their testing efforts due to budgetary and time constraints, which inevitably lead to long term issues with quality and customer satisfaction. Test case prioritization (TCP) has shown to improve test effectiveness. Objective The results of our prior work on requirements-based test prioritization showed improved rate of fault detection on industrial projects; the customer priority (CP) and the fault proneness (FP) were the biggest contributing factors to test effectiveness. The objective of this paper is to further investigate these two factors and apply prioritization based on these factors in a different domain: an enterprise level cloud application. We aim to provide an effective prioritization scheme that practitioners can implement with minimum effort. The other objective is to compare the results and the benefits of these two factors with two risk-based prioritization approaches that extract risks from the system requirements categories. Method Our approach involved analyzing and assigning values to each requirement based on two important factors, CP and FP, so that the test cases for high-value requirements are prioritized earlier for execution. We also proposed two requirements-based TCP approaches that use risk information of the system. Results Our results indicate that the use of CP and FP can improve the effectiveness of TCP. The results also show that the risk-based prioritization can be effective in improving the TCP. Conclusion We performed an experiment on an enterprise cloud application to measure the fault detection rate of different test suites that are prioritized based on CP, FP, and risks. The results depict that all approaches outperform the random prioritization approach, which is prevalent in the industry. Furthermore, the proposed approaches can easily be used in the industry to address the schedule and budget constraints at the testing phase.",Information and Software Technology,Elsevier,Query,10.1016/j.infsof.2015.09.002,2015-09-26,,,,submitted in 2015; published in 2016,,Orchestration technique,Prioritization,X,,,,,,TRUE,TRUE,IBM analytics application (1700+ TCs),IBM (USA),TRUE,FALSE,FALSE,FALSE,,TRUE,,Requirements-based,APFD,Apply different levels of severity to faults.,,Hyunsook Do,N/A,No,N/A,
2016,"Noor, Tanzeem Bin; Hemmati, Hadi",A similarity-based approach for test case prioritization using historical failure data,noor_similarity-based_2016,"Test case prioritization is a crucial element in software quality assurance in practice, specially, in the context of regression testing. Typically, test cases are prioritized in a way that they detect the potential faults earlier. The effectiveness of test cases, in terms of fault detection, is estimated using quality metrics, such as code coverage, size, and historical fault detection. Prior studies have shown that previously failing test cases are highly likely to fail again in the next releases, therefore, they are highly ranked, while prioritizing. However, in practice, a failing test case may not be exactly the same as a previously failed test case, but quite similar, e.g., when the new failing test is a slightly modified version of an old failing one to catch an undetected fault. In this paper, we define a class of metrics that estimate the test cases quality using their similarity to the previously failing test cases. We have conducted several experiments with five real world open source software systems, with real faults, to evaluate the effectiveness of these quality metrics. The results of our study show that our proposed similarity-based quality measure is significantly more effective for prioritizing test cases compared to existing test case quality measures. © 2015 IEEE.",2015 IEEE 26th International Symposium on Software Reliability Engineering (ISSRE),IEEE,Query,10.1109/ISSRE.2015.7381799,2016-01-14,,,,"More than a technique, they’re proposing different kinds of similarity as a prioritization metric",,Orchestration technique,Prioritization,X,,,,,,TRUE,FALSE,Defects4J (up to 7927 TCs),,FALSE,FALSE,FALSE,FALSE,,TRUE,,"Similarity-based (BC, HD, ED)","Tests till first fault (%), method coverage, size of testcase",,,,,,,
2016,"Schwartz, Amanda; Do, Hyunsook",Cost-effective regression testing through adaptive test prioritization strategies,schwartz_cost-effective_2016,"We propose two new ATP (Adaptive Test Prioritization) strategies.We 
conduct an empirical study investigating existing and new ATP 
strategies.We provide a statistical analysis examining all ATP 
strategies proposed.Our findings show that FESART is the most consistent
 cost-effective ATP strategy. Regression testing is an important part of
 the software development life cycle. It is also very expensive. Many 
different techniques have been proposed for reducing the cost of 
regression testing. However, research has shown that the effectiveness 
of different techniques varies under different testing environments and 
software change characteristics. In prior work, we developed strategies 
to investigate ways of choosing the most cost-effective regression 
testing technique for a particular regression testing session. In this 
work, we empirically study the existing strategies presented in prior 
work as well as develop two additional Adaptive Test Prioritization 
(ATP) strategies using fuzzy analytical hierarchy process (AHP) and the 
weighted sum model (WSM). We also provide a comparative study examining 
each of the ATP strategies presented to date. This research will provide
 researchers and practitioners with strategies to utilize in regression 
testing plans as well as provide data to use when deciding which of the 
strategies would best fit their testing needs. The empirical studies 
provided in this research show that utilizing these strategies can 
improve the cost-effectiveness of regression testing.",Journal of Systems and Software,Elsevier,backward,10.1016/j.jss.2016.01.018,2016-01-27,,X,,,,Orchestration technique,,X,,,,Continuous integration,,TRUE,FALSE,SIR (up to 912 TCs),,FALSE,FALSE,FALSE,FALSE,,TRUE,,Approach is adaptively chosen for each software and even version using some decision support system,Eelative cost-benefit (in dollars) among compared TCP techniques,"Expand to other techniques, and to larger programs.",,Hyunsook Do,N/A,No,N/A,
2016,"Hirzel, Matthias; Klaeren, Herbert",Graph-walk-based selective regression testing of web applications created with Google web toolkit,hirzel_graph-walk-based_2016,"Modern web applications are usually based on JavaScript. Due to its loosely typed, dynamic nature, test execution is time expensive and costly. Techniques for regression testing and fault-localization as well as frameworks like the Google Web Toolkit (GWT) ease the develop- ment and testing process, but still require approaches to reduce the testing effort. In this paper, we investigate the efficiency of a spe- cialized, graph-walk based selective regression testing technique that aims to detect code changes on the client side in order to determine a reduced set of web tests. To do this, we analyze web applications created with GWT on different precision levels and with varying looka- heads. We examine how these parameters affect the localization of client-side code changes, run time, memory consumption and the num- ber of web tests selected for re-execution. In addition, we propose a dynamic heuristics which targets an analysis that is as exact as possible while reducing memory consumption. The results are partially appli- cable on non-GWT applications. In the context of web applications,we see that the efficiency relies to a great degree on both the structure of the application and the code modifications, which is why we propose further measures tailored to the results of our approach.",Software Engineering Workshops 2016,CEUR,backward,http://ceur-ws.org/Vol-1559/paper05.pdf,2016-02-17,,X,,,,Orchestration technique,,,X,,,Web applications,,FALSE,TRUE,Hupa (32 TCs) and Meisterplan (104 TCs),,FALSE,FALSE,TRUE,FALSE,https://github.com/MH42/srt-for-web-apps,TRUE,,Graph-based,"Time/memory consumption, selection percentage",,,,,,,
2016,"Lu, Yafeng; Lou, Yiling; Cheng, Shiang; Zhang, Lingming; Hao, Dan; Zhou, Yangfan; Zhang, Lu",How does regression test prioritization perform in real-world software evolution?,lu_how_2016,"In recent years, researchers have intensively investigated various topics in test prioritization, which aims to re-order tests to increase the rate of fault detection during regression testing. While the main research focus in test prioritization is on proposing novel prioritization techniques and evaluating on more and larger subject systems, little effort has been put on investigating the threats to validity in existing work on test prioritization. One main threat to validity is that existing work mainly evaluates prioritization techniques based on simple artificial changes on the source code and tests. For example, the changes in the source code usually include only seeded program faults, whereas the test suite is usually not augmented at all. On the contrary, in real-world software development, software systems usually undergo various changes on the source code and test suite augmentation. Therefore, it is not clear whether the conclusions drawn by existing work in test prioritization from the artificial changes are still valid for real-world software evolution. In this paper, we present the first empirical study to investigate this important threat to validity in test prioritization. We reimplemented 24 variant techniques of both the traditional and time-aware test prioritization, and investigated the impacts of software evolution on those techniques based on the version history of 8 real-world Java programs from GitHub. The results show that for both traditional and time-aware test prioritization, test suite augmentation significantly hampers their effectiveness, whereas source code changes alone do not influence their effectiveness much.",ICSE '16: Proceedings of the 38th International Conference on Software Engineering,ACM,backward,10.1145/2884781.2884874,2016-05-14,,,,"Here they discuss a potential threat to validity on the validation of other TCP techniques. The claim is that experiments with seeded faults are not comparable to a real scenario where tests are being added and changed in each version of a software.

They claim that proposed TCP techniques are not as effective in this realistic scenario compared to the results shown in previous experiments.",,,,X,,,,,,TRUE,TRUE,Open-source Java programs (up to 5269 TCs),,FALSE,FALSE,TRUE,FALSE,https://personal.utdallas.edu/~lxz144130/icse16support.html,TRUE,,"greedy, search-based, adaptive, time-aware",APFD,,,Yiling Lou,https://personal.utdallas.edu/~lxz144130/icse16support.html,No,N/A,Contact OK
2016,"Vöst, Sebastian; Wagner, Stefan",Trace-based test selection to support continuous integration in the automotive industry,vost_trace-based_2016,"System testing in the automotive industry is a very expensive and time-consuming task of growing importance, because embedded systems in the domain are distributed over numerous controllers (ECUs). Modern software development techniques such as continuous integration require regular, repeated and fast testing. To achieve this in the automotive domain, test suites for a specific software change must be tailored. We propose a novel test selection technique for system-level functions in the automotive industry based on component and communication models. The idea is to follow input and output signals that are used in the testing steps through the ECUs implementing a function. We select only those tests for a planned integration in which at least one of the signals sent in its steps is processed by the ECU that was changed and thus triggered the integration. The technique is well-suited for black-box testing since it requires only the full test suite specification and the system architecture. We applied the technique to a test suite of the Active Cruise Control function at BMW Group in the context of hardware-in-the-loop system testing and found the possible reduction rates to be 82.3% on average in comparison to the full test suite. Possible future work includes the evaluation with a wider set of functions, the evaluation of the fault detection rate, further automation and combination with other test selection techniques.",CSED '16: Proceedings of the International Workshop on Continuous Software Evolution and Delivery,ACM,Query,10.1145/2896941.2896951,2016-05-14,,,,Automotive CI and RT is somewhat of a unique challenge.,,Orchestration technique/Context-specific,Selection,,X,,,"Continuous integration, automotive",,TRUE,TRUE,BMW adaptive cruise control (186 TCs),BMW (Germany),TRUE,FALSE,FALSE,FALSE,,TRUE,,Trace-based,Selection rate,,,Stefan Wagner,Proprietary,Yes for some time; not currently in use after a role change of the tool's champion.,Yes,Contact OK
2016,"Wang, Shuai; Ali, Shaukat; Yue, Tao; Bakkeli, Oyvind; Liaaen, Marius",Enhancing test case prioritization in an industrial setting with resource awareness and multi-objective search,wang_enhancing_2016,"Test case prioritization is an essential part of test execution systems for large organizations developing software systems in the context that their software versions are released very frequently. They must be tested on a variety of compatible hardware with different configurations to ensure correct functioning of a software version on a compatible hardware. In practice, test case execution must not only execute cost-effective test cases in an optimal order, but also optimally allocate required test resources, in order to deliver high quality software releases. To optimize the current test execution system for testing software releases developed for Videoconferencing Systems (VCSs) at Cisco, Norway, in this paper, we propose a resource-aware multi-objective optimization solution with a fitness function defined based on four cost-effectiveness measures. In this context, a set of software releases must be tested on a set of compatible VCS hardware (test resources) by executing a set of cost-effective test cases in an optimal order within a given test cycle constrained by maximum allowed time budget and maximum available test resources. We empirically evaluated seven search algorithms regarding their performance and scalability by comparing with the current practice (random ordering (RO)). The results show that the proposed solution with the best search algorithm (i.e., Random-Weighted Genetic Algorithm) improved the current practice by reducing on average 40.6% of time for test resource allocation and test case execution, improved test resource usage on average by 37.9% and fault detection on average by 60%.",ICSE '16: Proceedings of the 38th International Conference on Software Engineering Companion,ACM,Query,10.1145/2889160.2889240,2016-05-14,,,,"It's Simula with Cisco, but doesn't seem specific to SPL.",,Orchestration technique,Prioritization,X,,,,Software product line,,TRUE,TRUE,Cisco videoconferencing system (305 TCs),Cisco (Norway),TRUE,FALSE,FALSE,MAYBE,,TRUE,,"resource-aware, multi-objective search","Number of test cases, resource usage, fault detection capability, total time, prioritization density",Further industrial case studies; survey with Cisco engineers for validation and application of approach.,,,,,,
2016,"Srikanth, Hema; Cashman, Mikaela; Cohen, Myra B.",Test Case Prioritization of Build Acceptance Tests for an Enterprise Cloud Application,srikanth_test_2016,"The use of cloud computing brings many new opportunities for companies to deliver software in a highly-customizable and dynamic way. One such paradigm, Software as a Service (SaaS), allows users to subscribe and unsubscribe to services as needed. While beneficial to both subscribers and SaaS service providers, failures escaping to the field in these systems can potentially impact an entire customer base. Build Acceptance Testing (BAT) is a black box technique performed to validate the quality of a SaaS system every time a build is generated. In BAT, the same set of test cases is executed simultaneously across many different servers, making this a time consuming test process. Since BAT contains the most critical use cases, it may not be obvious which tests to perform first, given that the time to complete all test cases across different servers in any given day may be insufficient. While all tests must be eventually run, it is critical to run those tests first which are likely to find failures. In this work, we ask if it is possible to prioritize BAT tests for improved time to fault detection and present several different approaches, each based on the services executed when running each BAT. In an empirical study on a production enterprise system, we first analyze the historical data from several months in the field, and then use that data to derive the prioritization order for the current development BATs. We then examine if the orders change significantly when we consider fault severity using a cost-based prioritization metric. We find that the prioritization order in which we run the tests does matter, and that the use of historical information is a good heuristic for this order. Prioritized tests have an increase in the rate of fault detection, with the average percent of faults detected (APFD) increasing from less than 0.30 to as high as 0.77 on a scale of zero to one. Although severity slightly changes which order performs best, we see that there are clusters of orderings, ones which improve time to early fault detection ones which don't.",Journal of Systems and Software,Elsevier,Query,10.1016/j.jss.2016.06.017,2016-06-16,,,"Despite the industrial evaluation, the work basically evaluates 3 history-based TCP heuristics. No orchestration.",,,Orchestration technique/Context-specific,,X,,,,Prioritizing Build Acceptance Tests based on historical ﬁeld failures,,TRUE,TRUE,IBM cloud application (1000+ TCs),IBM (USA),TRUE,FALSE,FALSE,FALSE,,TRUE,,3 history-based TCP heuristics.,APFD and APFDc," - investigate the use of in-house defects when ﬁeld failures data is not available.
 - evaluate systems where running times of individual test cases are different.",,,,,,
2016,"Pradhan, Dipesh; Wang, Shuai; Ali, Shaukat; Yue, Tao",Search-Based Cost-Effective Test Case Selection within a Time Budget: An Empirical Study,pradhan_search-based_2016,"Due to limited time and resources available for execution, test case selection always remains crucial for cost-effective testing. It is even more prominent when test cases require manual steps, e.g., operating physical equipment. Thus, test case selection must consider complicated trade-offs between cost (e.g., execution time) and effectiveness (e.g., fault detection capability). Based on our industrial collaboration within the Maritime domain, we identified a real-world and multi-objective test case selection problem in the context of robustness testing, where test case execution requires human involvement in certain steps, such as turning on the power supply to a device. The high-level goal is to select test cases for execution within a given time budget, where test engineers provide weights for a set of objectives, depending on testing requirements, standards, and regulations. To address the identified test case selection problem, we defined a fitness function including one cost measure, i.e., Time Difference (TD) and three effectiveness measures, i.e., Mean Priority (MPR), Mean Probability (MPO) and Mean Consequence (MC) that were identified together with test engineers. We further empirically evaluated eight multi-objective search algorithms, which include three weight-based search algorithms (e.g., Alternating Variable Method) and five Pareto-based search algorithms (e.g., Strength Pareto Evolutionary Algorithm 2 (SPEA2)) using two weight assignment strategies (WASs). Notice that Random Search (RS) was used as a comparison baseline. We conducted two sets of empirical evaluations: 1) Using a real world case study that was developed based on our industrial collaboration; 2) simulating the real world case study to a larger scale to assess the scalability of the search algorithms. Results show that SPEA2 with either of the WASs performed the best for both the studies. Overall, SPEA2 managed to improve on average 32.7%, 39% and 33% in terms of MPR, MPO and MC respectively as compared to RS.",GECCO '16: Proceedings of the Genetic and Evolutionary Computation Conference 2016,ACM,Query,10.1145/2908812.2908850,2016-07-20,,,,,,Orchestration technique,Selection,,X,,,,,TRUE,TRUE,"Realistic case study based on standards, public requirements and a handbook (165 TCs)",Undisclosed oil & gas company (Norway),FALSE,FALSE,FALSE,FALSE,,TRUE,,Search-based,"fitness value, hypervolume",Hybrid search and evolutionary algorithms for better performance.,,,,,,
2016,"Chen, Junjie; Bai, Yanwei; Hao, Dan; Xiong, Yingfei; Zhang, Hongyu; Zhang, Lu; Xie, Bing",Test case prioritization for compilers: A text-vector based approach,chen_test_2016,"Test case prioritization aims to schedule the execution order of test cases so as to detect bugs as early as possible. For compiler testing, the demand for both effectiveness and efficiency imposes challenge to test case prioritization. In the literature, most existing approaches prioritize test cases by using some coverage information (e.g., statement coverage or branch coverage), which is collected with considerable extra effort. Although input-based test case prioritization relies only on test inputs, it can hardly be applied when test inputs are programs. In this paper we propose a novel text-vector based test case prioritization approach, which prioritizes test cases for C compilers without coverage information. Our approach first transforms each test case into a text-vector by extracting its tokens which reflect fault-relevant characteristics and then prioritizes test cases based on these text-vectors. In particular, in our approach we present three prioritization strategies: greedy strategy, adaptive random strategy, and search strategy. To investigate the efficiency and effectiveness of our approach, we conduct an experiment on two C compilers (i.e., GCC and LLVM), and find that our approach is much more efficient than the existing approaches and is effective in prioritizing test cases.","2016 IEEE International Conference on Software Testing, Verification and Validation (ICST)",IEEE,backward,10.1109/ICST.2016.19,2016-07-21,,X,,,,Orchestration technique,,X,,,,Test of C compilers,,TRUE,TRUE,C compilers GCC (3.3M LOC) and LLVM (4.7M LOC),,TRUE,FALSE,FALSE,FALSE,,TRUE,,text-vector based (similarity),"-APFD
-time spent in prioritization",n/a,,,,,,
