Core metadata,,,,Additional metadata,,,,,,,Categorization,,,,,,,Applicability concerns,,,,,,,,,,,,Findings,,
Year,Authors,Title,bibtex,Abstract,Published in,Publisher,Source,DOI,Publication date,,Broad Categories,TCP,TCS,TSR,TSA,Context?,,Industry motivation?,Industry evaluation?,Experiment subjects,Programming language,Industry partner,Industrial author,Practitioners feedback,Available tool?,Put into practice?,Supplementary material,Included?,,Approach,Metrics,Open challenges
2016,"Srikanth, Hema; Hettiarachchi, Charitha; Do, Hyunsook",Requirements Based Test Prioritization Using Risk Factors,srikanth_requirements_2016,"Context Software testing is an expensive and time-consuming process. Software engineering teams are often forced to terminate their testing efforts due to budgetary and time constraints, which inevitably lead to long term issues with quality and customer satisfaction. Test case prioritization (TCP) has shown to improve test effectiveness. Objective The results of our prior work on requirements-based test prioritization showed improved rate of fault detection on industrial projects; the customer priority (CP) and the fault proneness (FP) were the biggest contributing factors to test effectiveness. The objective of this paper is to further investigate these two factors and apply prioritization based on these factors in a different domain: an enterprise level cloud application. We aim to provide an effective prioritization scheme that practitioners can implement with minimum effort. The other objective is to compare the results and the benefits of these two factors with two risk-based prioritization approaches that extract risks from the system requirements categories. Method Our approach involved analyzing and assigning values to each requirement based on two important factors, CP and FP, so that the test cases for high-value requirements are prioritized earlier for execution. We also proposed two requirements-based TCP approaches that use risk information of the system. Results Our results indicate that the use of CP and FP can improve the effectiveness of TCP. The results also show that the risk-based prioritization can be effective in improving the TCP. Conclusion We performed an experiment on an enterprise cloud application to measure the fault detection rate of different test suites that are prioritized based on CP, FP, and risks. The results depict that all approaches outperform the random prioritization approach, which is prevalent in the industry. Furthermore, the proposed approaches can easily be used in the industry to address the schedule and budget constraints at the testing phase.",Information and Software Technology,Elsevier,Query,10.1016/j.infsof.2015.09.002,2015-09-26,,Orchestration technique,X,,,,,,TRUE,TRUE,"IBM analytics application 

Industrial proprietary, medium scale (1700+ TCs)",Unclear,IBM (USA),TRUE,FALSE,FALSE,FALSE,,TRUE,,Requirements-based,APFD,Apply different levels of severity to faults.
2016,"Noor, Tanzeem Bin; Hemmati, Hadi",A similarity-based approach for test case prioritization using historical failure data,noor_similarity-based_2016,"Test case prioritization is a crucial element in software quality assurance in practice, specially, in the context of regression testing. Typically, test cases are prioritized in a way that they detect the potential faults earlier. The effectiveness of test cases, in terms of fault detection, is estimated using quality metrics, such as code coverage, size, and historical fault detection. Prior studies have shown that previously failing test cases are highly likely to fail again in the next releases, therefore, they are highly ranked, while prioritizing. However, in practice, a failing test case may not be exactly the same as a previously failed test case, but quite similar, e.g., when the new failing test is a slightly modified version of an old failing one to catch an undetected fault. In this paper, we define a class of metrics that estimate the test cases quality using their similarity to the previously failing test cases. We have conducted several experiments with five real world open source software systems, with real faults, to evaluate the effectiveness of these quality metrics. The results of our study show that our proposed similarity-based quality measure is significantly more effective for prioritizing test cases compared to existing test case quality measures. © 2015 IEEE.",2015 IEEE 26th International Symposium on Software Reliability Engineering (ISSRE),IEEE,Query,10.1109/ISSRE.2015.7381799,2016-01-14,,Orchestration technique,X,,,,,,TRUE,FALSE,"Defects4J (up to 7927 TCs)

Research dataset, large scale (albeit using test method as granularity)",Java,,FALSE,FALSE,FALSE,FALSE,,TRUE,,"Similarity-based (BC, HD, ED)","Tests till first fault (%), method coverage, size of testcase","""In the future, we will try to improve the similarity function by abstracting the method sequence calls into a state model. Moreover, we will also assess the impact of run-time parametrization on the test case inputs. We are also interested to build an automatic test generation tool that can generate high-quality tests, using this new quality metric."""
2016,"Schwartz, Amanda; Do, Hyunsook",Cost-effective regression testing through adaptive test prioritization strategies,schwartz_cost-effective_2016,"We propose two new ATP (Adaptive Test Prioritization) strategies.We 
conduct an empirical study investigating existing and new ATP 
strategies.We provide a statistical analysis examining all ATP 
strategies proposed.Our findings show that FESART is the most consistent
 cost-effective ATP strategy. Regression testing is an important part of
 the software development life cycle. It is also very expensive. Many 
different techniques have been proposed for reducing the cost of 
regression testing. However, research has shown that the effectiveness 
of different techniques varies under different testing environments and 
software change characteristics. In prior work, we developed strategies 
to investigate ways of choosing the most cost-effective regression 
testing technique for a particular regression testing session. In this 
work, we empirically study the existing strategies presented in prior 
work as well as develop two additional Adaptive Test Prioritization 
(ATP) strategies using fuzzy analytical hierarchy process (AHP) and the 
weighted sum model (WSM). We also provide a comparative study examining 
each of the ATP strategies presented to date. This research will provide
 researchers and practitioners with strategies to utilize in regression 
testing plans as well as provide data to use when deciding which of the 
strategies would best fit their testing needs. The empirical studies 
provided in this research show that utilizing these strategies can 
improve the cost-effectiveness of regression testing.",Journal of Systems and Software,Elsevier,backward,10.1016/j.jss.2016.01.018,2016-01-27,,Orchestration technique,X,,,,Continuous integration,,TRUE,FALSE,"SIR (up to 912 TCs)

Research dataset, medium scale",Java,,FALSE,FALSE,FALSE,FALSE,,TRUE,,Approach is adaptively chosen for each software and even version using some decision support system,Eelative cost-benefit (in dollars) among compared TCP techniques,"Expand to other techniques, and to larger programs."
2016,"Hirzel, Matthias; Klaeren, Herbert",Graph-walk-based selective regression testing of web applications created with Google web toolkit,hirzel_graph-walk-based_2016,"Modern web applications are usually based on JavaScript. Due to its loosely typed, dynamic nature, test execution is time expensive and costly. Techniques for regression testing and fault-localization as well as frameworks like the Google Web Toolkit (GWT) ease the develop- ment and testing process, but still require approaches to reduce the testing effort. In this paper, we investigate the efficiency of a spe- cialized, graph-walk based selective regression testing technique that aims to detect code changes on the client side in order to determine a reduced set of web tests. To do this, we analyze web applications created with GWT on different precision levels and with varying looka- heads. We examine how these parameters affect the localization of client-side code changes, run time, memory consumption and the num- ber of web tests selected for re-execution. In addition, we propose a dynamic heuristics which targets an analysis that is as exact as possible while reducing memory consumption. The results are partially appli- cable on non-GWT applications. In the context of web applications,we see that the efficiency relies to a great degree on both the structure of the application and the code modifications, which is why we propose further measures tailored to the results of our approach.",Software Engineering Workshops 2016,CEUR,backward,http://ceur-ws.org/Vol-1559/paper05.pdf,2016-02-17,,Orchestration technique,,X,,,Web applications,,FALSE,TRUE,"Hupa (32 TCs) and Meisterplan (104 TCs)

Open-source, small scale
Industry proprietary, small scale",JavaScript,,FALSE,FALSE,"TRUE

Replication package and Eclipse Plug-in, well documented",FALSE,https://github.com/MH42/srt-for-web-apps,TRUE,,Graph-based,"Time/memory consumption, selection percentage",Try to further reduce selection percentage.
2016,"Lu, Yafeng; Lou, Yiling; Cheng, Shiang; Zhang, Lingming; Hao, Dan; Zhou, Yangfan; Zhang, Lu",How does regression test prioritization perform in real-world software evolution?,lu_how_2016,"In recent years, researchers have intensively investigated various topics in test prioritization, which aims to re-order tests to increase the rate of fault detection during regression testing. While the main research focus in test prioritization is on proposing novel prioritization techniques and evaluating on more and larger subject systems, little effort has been put on investigating the threats to validity in existing work on test prioritization. One main threat to validity is that existing work mainly evaluates prioritization techniques based on simple artificial changes on the source code and tests. For example, the changes in the source code usually include only seeded program faults, whereas the test suite is usually not augmented at all. On the contrary, in real-world software development, software systems usually undergo various changes on the source code and test suite augmentation. Therefore, it is not clear whether the conclusions drawn by existing work in test prioritization from the artificial changes are still valid for real-world software evolution. In this paper, we present the first empirical study to investigate this important threat to validity in test prioritization. We reimplemented 24 variant techniques of both the traditional and time-aware test prioritization, and investigated the impacts of software evolution on those techniques based on the version history of 8 real-world Java programs from GitHub. The results show that for both traditional and time-aware test prioritization, test suite augmentation significantly hampers their effectiveness, whereas source code changes alone do not influence their effectiveness much.",ICSE '16: Proceedings of the 38th International Conference on Software Engineering,ACM,backward,10.1145/2884781.2884874,2016-05-14,,,X,,,,,,TRUE,FALSE,"Open-source Java programs (up to 5269 TCs)

Open-source, small to large scale",Java,,FALSE,FALSE,"TRUE

Replication package, poorly documented",FALSE,https://personal.utdallas.edu/~lxz144130/icse16support.html,TRUE,,"greedy, search-based, adaptive, time-aware",APFD,Consider other metrics
2016,"Vöst, Sebastian; Wagner, Stefan",Trace-based test selection to support continuous integration in the automotive industry,vost_trace-based_2016,"System testing in the automotive industry is a very expensive and time-consuming task of growing importance, because embedded systems in the domain are distributed over numerous controllers (ECUs). Modern software development techniques such as continuous integration require regular, repeated and fast testing. To achieve this in the automotive domain, test suites for a specific software change must be tailored. We propose a novel test selection technique for system-level functions in the automotive industry based on component and communication models. The idea is to follow input and output signals that are used in the testing steps through the ECUs implementing a function. We select only those tests for a planned integration in which at least one of the signals sent in its steps is processed by the ECU that was changed and thus triggered the integration. The technique is well-suited for black-box testing since it requires only the full test suite specification and the system architecture. We applied the technique to a test suite of the Active Cruise Control function at BMW Group in the context of hardware-in-the-loop system testing and found the possible reduction rates to be 82.3% on average in comparison to the full test suite. Possible future work includes the evaluation with a wider set of functions, the evaluation of the fault detection rate, further automation and combination with other test selection techniques.",CSED '16: Proceedings of the International Workshop on Continuous Software Evolution and Delivery,ACM,Query,10.1145/2896941.2896951,2016-05-14,,Orchestration technique/Context-specific,,X,,,"Continuous integration, automotive",,TRUE,TRUE,"BMW adaptive cruise control (186 TCs)

industrial proprietary, small scale","""a semi-formal language based on Keywords""",BMW (Germany),TRUE,FALSE,FALSE,FALSE,,TRUE,,Trace-based,Selection rate,Expand to include other ECU libraries; automate more steps
2016,"Wang, Shuai; Ali, Shaukat; Yue, Tao; Bakkeli, Oyvind; Liaaen, Marius",Enhancing test case prioritization in an industrial setting with resource awareness and multi-objective search,wang_enhancing_2016,"Test case prioritization is an essential part of test execution systems for large organizations developing software systems in the context that their software versions are released very frequently. They must be tested on a variety of compatible hardware with different configurations to ensure correct functioning of a software version on a compatible hardware. In practice, test case execution must not only execute cost-effective test cases in an optimal order, but also optimally allocate required test resources, in order to deliver high quality software releases. To optimize the current test execution system for testing software releases developed for Videoconferencing Systems (VCSs) at Cisco, Norway, in this paper, we propose a resource-aware multi-objective optimization solution with a fitness function defined based on four cost-effectiveness measures. In this context, a set of software releases must be tested on a set of compatible VCS hardware (test resources) by executing a set of cost-effective test cases in an optimal order within a given test cycle constrained by maximum allowed time budget and maximum available test resources. We empirically evaluated seven search algorithms regarding their performance and scalability by comparing with the current practice (random ordering (RO)). The results show that the proposed solution with the best search algorithm (i.e., Random-Weighted Genetic Algorithm) improved the current practice by reducing on average 40.6% of time for test resource allocation and test case execution, improved test resource usage on average by 37.9% and fault detection on average by 60%.",ICSE '16: Proceedings of the 38th International Conference on Software Engineering Companion,ACM,Query,10.1145/2889160.2889240,2016-05-14,,Orchestration technique,X,,,,Software product line,,TRUE,TRUE,"Cisco videoconferencing system (305 TCs)

Industrial proprietary, small scale",Unclear,Cisco (Norway),TRUE,FALSE,FALSE,MAYBE,,TRUE,,"resource-aware, multi-objective search","Number of test cases, resource usage, fault detection capability, total time, prioritization density",Further industrial case studies; survey with Cisco engineers for validation and application of approach.
2016,"Srikanth, Hema; Cashman, Mikaela; Cohen, Myra B.",Test Case Prioritization of Build Acceptance Tests for an Enterprise Cloud Application,srikanth_test_2016,"The use of cloud computing brings many new opportunities for companies to deliver software in a highly-customizable and dynamic way. One such paradigm, Software as a Service (SaaS), allows users to subscribe and unsubscribe to services as needed. While beneficial to both subscribers and SaaS service providers, failures escaping to the field in these systems can potentially impact an entire customer base. Build Acceptance Testing (BAT) is a black box technique performed to validate the quality of a SaaS system every time a build is generated. In BAT, the same set of test cases is executed simultaneously across many different servers, making this a time consuming test process. Since BAT contains the most critical use cases, it may not be obvious which tests to perform first, given that the time to complete all test cases across different servers in any given day may be insufficient. While all tests must be eventually run, it is critical to run those tests first which are likely to find failures. In this work, we ask if it is possible to prioritize BAT tests for improved time to fault detection and present several different approaches, each based on the services executed when running each BAT. In an empirical study on a production enterprise system, we first analyze the historical data from several months in the field, and then use that data to derive the prioritization order for the current development BATs. We then examine if the orders change significantly when we consider fault severity using a cost-based prioritization metric. We find that the prioritization order in which we run the tests does matter, and that the use of historical information is a good heuristic for this order. Prioritized tests have an increase in the rate of fault detection, with the average percent of faults detected (APFD) increasing from less than 0.30 to as high as 0.77 on a scale of zero to one. Although severity slightly changes which order performs best, we see that there are clusters of orderings, ones which improve time to early fault detection ones which don't.",Journal of Systems and Software,Elsevier,Query,10.1016/j.jss.2016.06.017,2016-06-16,,Orchestration technique/Context-specific,X,,,,Prioritizing Build Acceptance Tests based on historical ﬁeld failures,,TRUE,TRUE,"IBM cloud application (1000+ TCs)

Industrial proprietary, medium scale",Unclear,IBM (USA),TRUE,FALSE,FALSE,FALSE,,TRUE,,3 history-based TCP heuristics.,APFD and APFDc," - investigate the use of in-house defects when ﬁeld failures data is not available.
 - evaluate systems where running times of individual test cases are different."
2017,"Blondeau, Vincent; Etien, Anne; Anquetil, Nicolas; Cresson, Sylvain; Croisy, Pascal; Ducasse, Stéphane",Test case selection in industry: an analysis of issues related to static approaches,blondeau_test_2017,"Automatic testing constitutes an important part of everyday development practice. Worldline, a major IT company, is creating more and more tests to ensure the good behavior of its applications and gains in efficiency and quality. But running all these tests may take hours. This is especially true for large systems involving, for example, the deployment of a web server or communication with a database. For this reason, tests are not launched as often as they should be and are mostly run at night. The company wishes to improve its development and testing process by giving to developers rapid feedback after a change. An interesting solution is to reduce the number of tests to run by identifying only those exercising the piece of code changed. Two main approaches are proposed in the literature: static and dynamic. The static approach creates a model of the source code and explores it to find links between changed methods and tests. The dynamic approach records invocations of methods during the execution of test scenarios. Before deploying a test case selection solution, Worldline created a partnership with us to investigate the situation in its projects and to evaluate these approaches on three industrial, closed source, cases to understand the strengths and weaknesses of each solution. We propose a classification of problems that may arise when trying to identify the tests that cover a method. We give concrete examples of these problems and list some possible solutions. We also evaluate other issues such as the impact on the results of the frequency of modification of methods or considering groups of methods instead of single ones. We found that solutions must be combined to obtain better results, and problems have different impacts on projects. Considering commits instead of individual methods tends to worsen the results, perhaps due to their large size.",Software Quality Journal,Springer,Query,10.1007/s11219-016-9328-4,2016-07-08,,Case study,,X,,,Financial software,,TRUE,TRUE,"Three undisclosed Worldline projects (5000+ TCs, 5+ hours execution)

Industrial proprietary, large scale",Java,Worldline (France),TRUE,FALSE,FALSE,FALSE,,TRUE,,Dynamic vs. static selection,"Selection ratio, precision, recall, F-measure",Experiment with hybrid static-dynamic approach; perform further experiments implementing the approach at Worldline.
2016,"Pradhan, Dipesh; Wang, Shuai; Ali, Shaukat; Yue, Tao",Search-Based Cost-Effective Test Case Selection within a Time Budget: An Empirical Study,pradhan_search-based_2016,"Due to limited time and resources available for execution, test case selection always remains crucial for cost-effective testing. It is even more prominent when test cases require manual steps, e.g., operating physical equipment. Thus, test case selection must consider complicated trade-offs between cost (e.g., execution time) and effectiveness (e.g., fault detection capability). Based on our industrial collaboration within the Maritime domain, we identified a real-world and multi-objective test case selection problem in the context of robustness testing, where test case execution requires human involvement in certain steps, such as turning on the power supply to a device. The high-level goal is to select test cases for execution within a given time budget, where test engineers provide weights for a set of objectives, depending on testing requirements, standards, and regulations. To address the identified test case selection problem, we defined a fitness function including one cost measure, i.e., Time Difference (TD) and three effectiveness measures, i.e., Mean Priority (MPR), Mean Probability (MPO) and Mean Consequence (MC) that were identified together with test engineers. We further empirically evaluated eight multi-objective search algorithms, which include three weight-based search algorithms (e.g., Alternating Variable Method) and five Pareto-based search algorithms (e.g., Strength Pareto Evolutionary Algorithm 2 (SPEA2)) using two weight assignment strategies (WASs). Notice that Random Search (RS) was used as a comparison baseline. We conducted two sets of empirical evaluations: 1) Using a real world case study that was developed based on our industrial collaboration; 2) simulating the real world case study to a larger scale to assess the scalability of the search algorithms. Results show that SPEA2 with either of the WASs performed the best for both the studies. Overall, SPEA2 managed to improve on average 32.7%, 39% and 33% in terms of MPR, MPO and MC respectively as compared to RS.",GECCO '16: Proceedings of the Genetic and Evolutionary Computation Conference 2016,ACM,Query,10.1145/2908812.2908850,2016-07-20,,Orchestration technique,,X,,,,,TRUE,TRUE,"Realistic case study based on standards, public requirements and a handbook (165 TCs)

Industrial proprietary, small scale",N/A,Undisclosed oil & gas company (Norway),FALSE,FALSE,FALSE,FALSE,,TRUE,,Search-based,"fitness value, hypervolume",Hybrid search and evolutionary algorithms for better performance.
